Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
LVAD079_S11_R1_001_val_1	LVAD079_S11_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36272041.0	0.0	20-76	48.0	22.824495128458175	75.02252222310842	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD079_S11_R2_001_val_2	LVAD079_S11_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36272041.0	0.0	20-76	49.0	30.564103980023393	74.50622786845659	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD083_S1_R1_001_val_1	LVAD083_S1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40217177.0	0.0	20-76	48.0	25.735834616851438	74.97959923939962	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD083_S1_R2_001_val_2	LVAD083_S1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40217177.0	0.0	20-76	49.0	34.743405874503416	74.43853465895928	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD084_S2_R1_001_val_1	LVAD084_S2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42595483.0	0.0	20-76	48.0	22.601336394213163	74.95944929184158	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD084_S2_R2_001_val_2	LVAD084_S2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42595483.0	0.0	20-76	49.0	31.01335513043604	74.4415932553224	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD087_S3_R1_001_val_1	LVAD087_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43820293.0	0.0	20-76	48.0	25.839506931464097	74.98979671359112	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD087_S3_R2_001_val_2	LVAD087_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43820293.0	0.0	20-76	49.0	34.727335057368705	74.45886484602009	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD090_S4_R1_001_val_1	LVAD090_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45388368.0	0.0	20-76	49.0	25.4580689525629	74.97151693138647	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD090_S4_R2_001_val_2	LVAD090_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45388368.0	0.0	20-76	50.0	34.21397238636055	74.47502708182854	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD092_S5_R1_001_val_1	LVAD092_S5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40567539.0	0.0	20-76	48.0	24.370926391616546	74.94242975892622	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD092_S5_R2_001_val_2	LVAD092_S5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40567539.0	0.0	20-76	49.0	33.17786175321829	74.46764222005184	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD106_S6_R1_001_val_1	LVAD106_S6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36188848.0	0.0	20-76	48.0	23.11025234439973	74.96531019721877	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD106_S6_R2_001_val_2	LVAD106_S6_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36188848.0	0.0	20-76	49.0	30.980872455291355	74.41669991816264	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD111_S7_R1_001_val_1	LVAD111_S7_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33881447.0	0.0	20-76	48.0	25.17373047558195	74.97603275326465	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD111_S7_R2_001_val_2	LVAD111_S7_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33881447.0	0.0	20-76	49.0	33.34171238362593	74.51027678953618	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD119_S8_R1_001_val_1	LVAD119_S8_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36216830.0	0.0	20-76	48.0	25.151501289593707	74.96788780243881	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
