Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LVAD092_S5	89.37	36700199.0						
LVAD092_S5_	89.47	36293939.0						
LVAD092_S5_R1_001			0.4916498220567733					
LVAD092_S5_R1_001_val_1				75.62907360838345	48.0	74.94242975892622	25.0	40567539.0
LVAD092_S5_R2_001			1.9628323034315085					
LVAD092_S5_R2_001_val_2				66.82213824678172	49.0	74.46764222005184	25.0	40567539.0
LVAD106_S6	85.18	31226747.0						
LVAD106_S6_	85.29	30865387.0						
LVAD106_S6_R1_001			0.4952369314472798					
LVAD106_S6_R1_001_val_1				76.88974765560027	48.0	74.96531019721877	25.0	36188848.0
LVAD106_S6_R2_001			2.150873881296587					
LVAD106_S6_R2_001_val_2				69.01912754470865	49.0	74.41669991816264	33.33333333333333	36188848.0
LVAD111_S7	88.48	30342436.0						
LVAD111_S7_	88.4	29950108.0						
LVAD111_S7_R1_001			0.4932057439493276					
LVAD111_S7_R1_001_val_1				74.82626952441805	48.0	74.97603275326465	25.0	33881447.0
LVAD111_S7_R2_001			1.9483752845211497					
LVAD111_S7_R2_001_val_2				66.65828761637407	49.0	74.51027678953618	33.33333333333333	33881447.0
LVAD119_S8	88.63	32505185.0						
LVAD119_S8_	88.54	32066065.0						
LVAD119_S8_R1_001			0.4878845582048692					
LVAD119_S8_R1_001_val_1				74.84849871040629	48.0	74.96788780243881	25.0	36216830.0
LVAD119_S8_R2_001			2.0503136807535722					
LVAD119_S8_R2_001_val_2				65.93777680900061	49.0	74.45381763119522	25.0	36216830.0
LVAD121_S9	89.64	39286439.0						
LVAD121_S9_	89.56	38805546.0						
LVAD121_S9_R1_001			0.48545256250288116					
LVAD121_S9_R1_001_val_1				73.22928118791626	48.0	74.97644985935007	33.33333333333333	43330272.0
LVAD121_S9_R2_001			1.9170002431543172					
LVAD121_S9_R2_001_val_2				64.73475062482089	49.0	74.474669579734	25.0	43330272.0
LVAD122_S10	90.08	37574347.0						
LVAD122_S10_	90.03	37119400.0						
LVAD122_S10_R1_001			0.4673529814521981					
LVAD122_S10_R1_001_val_1				74.35711906049312	48.0	74.98835515652085	25.0	41230610.0
